id,postcode,locality,state,long,lat,NEAR_FID,NEAR_DIST
20113,854,KING ASH BAY,NT,136.309115899999995,-16.070754000000001,5,713806.100153987295926
380,860,TENNANT CREEK,NT,134.173598999999996,-19.641300999999999,5,877454.328850757912733
381,861,BRUNCHILLY,NT,134.500504000000006,-18.874571000000000,5,816751.641671755816787
382,861,TENNANT CREEK,NT,134.463153000000005,-18.251528000000000,5,755019.400381640763953
383,862,AVON DOWNS,NT,134.463153000000005,-18.251528000000000,5,755019.400381640763953
20114,862,CALVERT,NT,137.466714499999995,-16.796989629999999,5,861242.444151018629782
384,862,CRESSWELL DOWNS,NT,134.463153000000005,-18.251528000000000,5,755019.400381640763953
385,862,ELLIOTT,NT,134.463153000000005,-18.251528000000000,5,755019.400381640763953
386,862,HELEN SPRINGS,NT,134.463153000000005,-18.251528000000000,5,755019.400381640763953
387,862,MUCKATY STATION,NT,134.463153000000005,-18.251528000000000,5,755019.400381640763953
388,862,NEWCASTLE WATERS,NT,134.463153000000005,-18.251528000000000,5,755019.400381640763953
20115,862,NICHOLSON,NT,137.607296800000000,-18.451288150000000,3,966221.757735242485069
20116,862,PAMAYU,NT,134.055558999999988,-17.607860649999999,5,671713.209018895984627
389,862,PHILLIP CREEK STATION,NT,134.463153000000005,-18.251528000000000,5,755019.400381640763953
390,862,RENNER SPRINGS,NT,134.463153000000005,-18.251528000000000,5,755019.400381640763953
